DATAFLOW,LAST UPDATE,freq,unit,isced97,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,ES,2001,4011868.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,ES,1991,4322682.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,ES,2001,3908740.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,ES,1991,8299784.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,ES,2001,7920608.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,ES,1991,1055104.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,ES,2001,1137453.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,ES,1991,1145663.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,ES,2001,1224322.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,ES,1991,2200767.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,ES,2001,2361775.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,ES,1991,11371835.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,ES,2001,18852469.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,ES,1991,11178983.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,ES,2001,18375865.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,ES,1991,22550818.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,ES,2001,37228334.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,FI,1991,904250.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,FI,1991,857790.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,FI,1991,1762040.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,FI,1991,812588.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,FI,1991,797270.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,FI,1991,1609858.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,FI,1991,186934.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,FI,1991,192375.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,FI,1991,379309.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,FI,1991,1903772.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,FI,1991,1847435.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,FI,1991,3751207.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,FI,1991,0.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,FI,1991,0.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,FI,1991,0.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,FR,1991,15134424.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,FR,2001,12768015.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,FR,1991,11981628.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,FR,2001,9967904.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,FR,1991,27116052.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,FR,2001,22735919.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,FR,1991,6501250.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,FR,2001,8266278.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,FR,1991,7647083.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,FR,2001,9365449.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,FR,1991,14148333.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,FR,2001,17631727.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,FR,1991,2415711.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,FR,2001,4290976.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,FR,1991,2608610.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,FR,2001,3996113.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,FR,1991,5024321.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,FR,2001,8287089.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,FR,1991,29829028.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,FR,2001,30953205.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,FR,1991,28282176.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,FR,2001,29227012.00,
